person	id
松桃苗族自治县	813
闽清县	814
石泉县	815
平阴县	816
塔什库尔干塔吉克自治县	817
宿迁经济技术开发区	818
桦川县	819
盱眙县	820
安源区	821
望江县	822
番禺区	823
巫山县	824
岫岩满族自治县	825
莱芜区	826
榆中县	827
罗城仫佬族自治县	828
民和回族土族自治县	829
湖南益阳高新技术产业园区	830
黄梅县	831
乾安县	832
颍东区	833
南陵县	834
蓟州区	835
都江堰市	836
裕安区	837
中阳县	838
铁力市	839
秀屿区	840
青河县	841
兴化市	842
淄川区	843
承德高新技术产业开发区	844
淮阳区	845
新密市	846
稷山县	847
五家渠市	848
通川区	849
通许县	850
乳山市	851
舒兰市	852
徐汇区	853
库尔勒经济技术开发区	854
尼木县	855
太康县	856
锡林浩特市	857
潍城区	858
望花区	859
横县	860
盐津县	861
尧都区	862
铁山港区	863
阿图什市	864
绵竹市	865
武夷山市	866
邵东市	867
焦作城乡一体化示范区	868
横峰县	869
吴中区	870
蠡县	871
钦南区	872
四子王旗	873
宜章县	874
西塞山区	875
金寨县	876
金州区	877
五台县	878
沭阳县	879
远安县	880
武宣县	881
凤庆县	882
临川区	883
代县	884
华容区	885
银海区	886
云和县	887
雨花台区	888
高明区	889
巧家县	890
濠江区	891
向阳区	892
徽州区	893
宣汉县	894
叠彩区	895
江都区	896
禹州市	897
下花园区	898
武安市	899
沁阳市	900
鄯善县	901
鄄城县	902
卫滨区	903
金塔县	904
正宁县	905
乌拉特中旗	906
安阳高新技术产业开发区	907
建阳区	908
贡井区	909
花垣县	910
和静县	911
建水县	912
太和县	913
黄浦区	914
桂平市	915
迎江区	916
凤台县	917
青县	918
太白县	919
长宁区	920
平南县	921
麻江县	922
浦口区	923
肥东县	924
鲅鱼圈区	925
招远市	926
盐源县	927
宿松县	928
丰镇市	929
扎兰屯市	930
秦都区	931
平江县	932
丹寨县	933
四方台区	934
奉新县	935
祁东县	936
富拉尔基区	937
华州区	938
红原县	939
桑日县	940
柯桥区	941
康县	942
鸠江区	943
淳化县	944
连云区	945
子洲县	946
阳春市	947
射阳县	948
东洲区	949
钟楼区	950
咸安区	951
山海关区	952
金坛区	953
祥云县	954
原平市	955
霍林郭勒市	956
明溪县	957
泊头市	958
恩平市	959
铁门关市	960
凤阳县	961
涟水县	962
连山区	963
京口区	964
郏县	965
德昌县	966
景东彝族自治县	967
城厢区	968
巍山彝族回族自治县	969
噶尔县	970
旬邑县	971
广平县	972
临淄区	973
天涯区	974
汉台区	975
和政县	976
西岗区	977
敖汉旗	978
西乌珠穆沁旗	979
新县	980
临湘市	981
庆元县	982
徐水区	983
全椒县	984
潮安区	985
天山区	986
新绛县	987
石家庄高新技术产业开发区	988
东昌区	989
越秀区	990
图们市	991
江汉区	992
永仁县	993
郑州航空港经济综合实验区	994
碑林区	995
泰山区	996
且末县	997
道县	998
乳源瑶族自治县	999
木垒哈萨克自治县	1000
八宿县	1001
长沙县	1002
南皮县	1003
庆云县	1004
奇台县	1005
郸城县	1006
